nome_processo,"Ecotoxicity, freshwater impact","Human toxicity, cancer impact",Climate change impact,"Human toxicity, non-cancer impact","Resource use, fossils impact","Resource use, minerals and metals impact",Water use impact,Land use impact,"Eutrophication, freshwater impact",EF-particulate Matter impact,Photochemical ozone formation - human health impact,Acidification impact,"Eutrophication, terrestrial impact",Eutrophication marine impact,Ozone depletion impact,"Ionising radiation, human health impact",categoria
"iron sulfate, per kg fe",1.4993893487170666e-09,4.022963128728318e-10,7.617973030303934e-10,1.8353467606276432e-10,2.280999975182946e-09,4.877976467702823e-09,3.3551222484240482e-09,3.326725078532442e-11,1.8685160977940108e-10,2.99326675589855e-09,4.343726571209247e-09,8.779376935400762e-09,2.777247194764221e-09,3.706583826847451e-10,1.0447941831379817e-09,1.618543821298003e-09,Metalli & minerali
"Ascorbic acid production, elementary exchanges",0.0,0.0,3.9758319823377823e-11,0.0,0.0,0.0,4.0347684566317856e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chimica & additivi
"Carbon black, general purposes production",3.321541321410275e-09,4.0834800990928984e-10,1.3809341187828704e-09,2.1462157774172836e-10,5.517041510374757e-09,9.73699919709736e-10,1.795740486072445e-10,7.85971682591583e-12,1.9076364054765217e-10,1.9847954272640246e-09,9.938459576793713e-10,2.029572841275014e-09,4.766651434715591e-10,6.347219811096207e-11,2.1001974269983038e-10,2.1879227931504862e-10,Trasporti & veicoli
Acrylonitrile butadiene styrene (ABS),4.0297658075312265e-09,1.3736870805394333e-09,2.2345501295344324e-09,3.686371046409896e-10,6.035028930623975e-09,7.362299201541242e-09,1.2576222348135934e-09,2.66846483046389e-11,2.564183494985181e-10,3.4031264878737623e-09,4.4273554316850745e-09,6.288367959397277e-09,3.148191501226322e-09,4.948826504233293e-10,1.0042577915957992e-08,1.142673425650523e-09,Plastica & polimeri
liquid roll,4.4451077961828097e-10,3.465884577672421e-10,5.954750836457596e-10,1.0774761965734254e-10,7.761274199328843e-10,3.4086777869253777e-09,5.818235253570911e-10,1.777696966892544e-11,1.9188096443658032e-10,8.882725504582224e-10,7.307953128641778e-10,1.108152743946659e-09,3.641275687497788e-10,5.743326332122051e-11,3.178725104931028e-07,5.066701672144539e-10,Altro
"Glycerine, from rape oil production",9.56752689596269e-10,9.446909221252542e-10,9.271191740042457e-10,2.4169272827509605e-09,1.2760723490492748e-09,1.3046635330677628e-09,1.3184080915490137e-09,1.3446875573745783e-09,9.109082223601424e-10,2.035483102081768e-09,1.6695353788714135e-09,9.237358816403887e-09,7.3875406715650185e-09,2.338278033360339e-09,4.75032536548931e-08,1.2995348426212562e-09,Chimica & additivi
"benzo[thia]diazole-compound production, elementary exchanges",4.1399829564484754e-08,9.026733072143328e-10,2.6362309310067373e-10,7.797830005617919e-11,0.0,0.0,-2.0411978508781747e-09,0.0,5.717821191765692e-10,3.2114063255980676e-09,4.100420366324243e-09,1.926532483499734e-08,2.0260143446705446e-09,7.526121524155916e-10,0.0,0.0,Chimica & additivi
chloromequat chloride,1.4806053726581935e-09,1.47770988688832e-09,1.4685022837049247e-09,2.449613318374784e-10,3.5424522965949824e-09,7.926318187304531e-09,1.6100816154798292e-09,1.8533094596968156e-11,2.791909790862539e-10,2.1571611076444707e-09,1.7280004459035958e-09,2.5708808603075907e-09,1.0701440460037937e-09,2.765322032761006e-10,1.8671800421065813e-07,1.313672257763959e-09,Chimica & additivi
"synthetic fatliquors production, black box",2.5872429945510056e-09,1.0818091278447237e-09,8.936331279881853e-10,2.7459138871413313e-10,2.5643281876257067e-09,1.4535069548993719e-09,2.1267589130960515e-09,3.1145989162672135e-10,4.1096585598050993e-10,1.1989423090062816e-09,1.7296357920740037e-09,2.8171673086497967e-09,1.233118549921801e-09,3.420584209741252e-10,6.85171482967106e-08,1.6374155444007941e-09,"Carta, legno & imballaggi"
Sulphuric acid production,3.786081478775496e-10,9.542771937147008e-11,1.0896979558350218e-10,5.592026446358623e-11,5.379062108947125e-10,6.210189996426464e-10,1.8883591454017485e-09,5.193362387987754e-12,1.2500076919467347e-10,4.131044331894094e-10,4.124182136082084e-10,2.2104007334158604e-09,1.7676475188146824e-10,2.3301432567168312e-11,1.3872848826487484e-10,1.6579842031237608e-10,Chimica & additivi
"Sulphuric acid production, elementary exchanges",8.396925930049478e-17,0.0,0.0,2.9030378275426704e-18,0.0,0.0,1.832873395980618e-09,0.0,0.0,3.223057825345918e-10,2.435999015229855e-10,1.8708153213376054e-09,8.997105809862122e-11,1.2043036969978788e-11,0.0,0.0,Chimica & additivi
Sulphate pulp production,3.950941790521462e-10,2.189055719033464e-10,2.5695109207155015e-10,8.871283759470632e-11,4.680932550729173e-10,4.790488540369838e-10,-2.822931988305284e-09,1.6484573191441042e-09,1.0642291069999002e-10,8.330131523192114e-10,8.168927907571546e-10,1.0361850839098554e-09,5.203718378724657e-10,6.874039440479227e-11,1.6611451955339964e-08,8.076234748159952e-10,"Carta, legno & imballaggi"
"AlcoholEthoxylate (oleo) production, 7 moles EO, black box",2.942909354332131e-09,1.562397132272161e-09,1.1426641204458599e-09,4.755105239267952e-10,3.4322936368863487e-09,2.4938230588783323e-09,1.5709914069878167e-09,7.829781884744793e-10,6.962754885209791e-10,1.6647623331599809e-09,2.938202950303866e-09,3.7578176642887736e-09,2.1721459141801737e-09,7.079611477660041e-10,4.859956268064916e-09,2.1026001434484795e-09,"Carta, legno & imballaggi"
oxi-sulphited lard oil production,3.062617910389054e-09,1.5881911546548073e-09,5.851112559619859e-10,4.3614605545216793e-10,9.884949790330615e-10,1.4973735285285203e-09,1.8509219170866392e-09,1.200574902238832e-09,6.715020179534116e-10,1.538321281104184e-09,1.8502541989458571e-09,3.50166805792335e-09,2.140821908938664e-09,8.784064068765032e-10,1.2116476822355048e-08,8.689827437715944e-10,Chimica & additivi
"oxi-sulphited lard oil production, black box",3.043326805105342e-09,1.5843343469426236e-09,5.590979068246243e-10,4.338688000919371e-10,9.347345829224166e-10,1.4898096045009955e-09,1.8243921271231857e-09,1.1994274750968197e-09,6.712477723430974e-10,1.5142974374137443e-09,1.790408809415234e-09,3.432289489786376e-09,2.0946707893978454e-09,8.722379613762583e-10,1.2112473122016689e-08,7.255542819465037e-10,"Carta, legno & imballaggi"
Metaldehyde,2.780598682993985e-09,1.3305363440588324e-09,1.6905140988261193e-09,3.598826660980382e-10,4.736435406640951e-09,8.342462175120418e-09,3.969061078836157e-09,3.640035212796847e-11,2.831413333958583e-10,3.3888299489651372e-09,6.303923992817765e-09,6.08000527807265e-09,3.105747595388528e-09,4.149369019757284e-10,1.2816541067847485e-08,3.44049976412943e-09,Altro
"sulfamic acid production, black box",1.5190427127637106e-09,1.670948581253708e-09,1.544449443485861e-09,4.3241296705396823e-10,3.835527601381796e-09,1.097304512144753e-08,4.74384620416158e-09,3.8977950014678614e-11,1.2074184220391786e-09,3.015022250160437e-09,1.7398933723091553e-09,6.6143090031959634e-09,2.39107409829592e-09,1.5447755072224235e-10,1.436864047215428e-09,1.1534403804921352e-09,"Carta, legno & imballaggi"
Crude peanut oil,1.0518777915848327e-07,5.605210063886449e-10,1.5012231971237785e-09,2.8373173736361503e-09,1.2648623002657035e-09,6.724309164846471e-11,4.330983803032839e-10,3.235348191514563e-10,2.2595232928540904e-09,2.9043753573308617e-09,2.916648952763599e-09,1.01705422396129e-08,8.25154520228365e-09,3.54924050799077e-09,1.5052434003669893e-09,9.82973055944644e-10,Agricoltura & cereali
"Plastic film, PE wrap",6.387321481471666e-11,8.767729001084775e-11,2.8383635567112515e-11,7.002890251008642e-12,1.3749028465885232e-10,2.2318146115533465e-12,6.080072652605598e-11,5.818222000718635e-13,1.6583806987128541e-12,6.933438174937998e-12,3.6812273990665216e-11,3.059140630200054e-11,1.5132330132790365e-11,2.198593611363147e-12,3.395015525559394e-12,1.1985601410026078e-10,Plastica & polimeri
"Glycerine, from rape oil production, black box",9.460715700248187e-10,9.289191153049787e-10,8.954377663521869e-10,2.4154344156756437e-09,1.207293052049621e-09,1.3020543000169235e-09,1.2787746859295504e-09,1.3442648518577711e-09,9.108291388385003e-10,2.0122644545080136e-09,1.631219983303632e-09,9.186797387575074e-09,7.361831259551507e-09,2.334832392022506e-09,4.7500751122198915e-08,1.2249941293464553e-09,"Carta, legno & imballaggi"
"AlcoholEthoxylate (petro) production, 3 moles EO",2.7338189266607253e-10,4.272516682112869e-10,1.2985905016353341e-09,1.9671932095481074e-10,5.309764361506843e-09,2.5349955724086957e-09,1.575261469406585e-09,4.362394606010018e-11,5.090818490095326e-10,9.822191040738917e-10,3.226072143482294e-09,2.466350844187579e-09,8.988650067526703e-10,1.1820503186421344e-10,1.7993697237517308e-09,2.1317914530737533e-09,Plastica & polimeri
"2,4-dichlorotoluene",1.2007189935943261e-08,1.2586676061262504e-09,1.8803070431916526e-09,4.403644255007303e-10,4.948888458267477e-09,7.302055995843934e-09,3.288611673068167e-09,3.6562400285769877e-11,2.781737864691275e-10,4.76536406308538e-09,4.214644303807104e-09,6.4389475871606014e-09,2.7334333441455e-09,3.62335784417565e-10,6.173000817930416e-07,2.384212374838092e-09,Chimica & additivi
sodium bicarbonate production,2.9449984519930693e-09,2.0439328621813818e-10,3.2308167642565933e-10,1.351476682436572e-10,5.554608940639981e-10,1.9782218484207935e-09,1.8256298754676964e-09,2.6132657470243474e-11,4.739430945137317e-10,3.780015112390995e-10,3.732653394689206e-10,1.4706388844014417e-09,9.276010420032374e-10,3.808637654614104e-11,5.970892725935213e-10,4.1874345082184505e-10,Trasporti & veicoli
calcium chloride production,2.93471779536267e-09,2.0367977236499845e-10,3.2195383482140305e-10,1.3467588301384176e-10,5.535218428840401e-10,1.9713160996088757e-09,1.8192568079644291e-09,2.6041431317616476e-11,4.722886127553427e-10,3.766819507008334e-10,3.7196231237068633e-10,1.465505050328597e-09,9.243628916414891e-10,3.7953421311715045e-11,5.95004901450817e-10,4.1728166477867046e-10,Chimica & additivi
Nitric acid production,2.2563364242342964e-10,1.594890072082728e-10,4.3384751802052626e-10,9.531136124989648e-11,8.649878774979977e-10,1.1702103925904386e-09,1.1851612250882009e-09,9.937155622998975e-12,2.37976533864707e-10,5.457933459850475e-10,3.5586009648435287e-10,2.245643271376516e-09,1.5656572532580505e-09,4.113960427429705e-11,2.6629403637033615e-10,4.1157171943162354e-10,Chimica & additivi
